LR table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,,,,,,,,
,SepPV,MODULE,val,OpAtr,And,fun,Type,infix,ConstInt,Id,nonfix,BeginP,EndP,SepV,Bar,TypeConst,PREFCON,BeginC,EndC,OpLogAndAlso,OpLogOr,InsSIf,InsSThen,InsSElse,InsInWh,InsInDo,InsInCase,Of,Fn,Arrow,OpArMult,OpArdiv,Div,Mod,OpArAd,OpArExp,At,OpReI,OpReD,op,OpMinus,OpLogNot,Abs,DoubleP,ConstBool,TypeInt,TypeChar,TypeString,TypeBool,List,Asp,$,S,INICIAL,DEC,CONTDEC,CONTFBIND,CONTID,TVARS,CONTTVARS,TBINDS,CONTTBINDS,FBIND,CONTAPAT,CONTFBINDD,EXP,CONTEXP,MATCH,CONTMATCH,PAT,APAT,INFIXFN,PREFIXFN,INFIXCON,MONOCON,TYPE,TVAR
91,r14,r14,r14,,,r14,r14,r14,,,r14,r14,,,,r14,r14,r14,,r14,r14,r14,,,r14,,r14,,r14,,,,,,,,,,,r14,r14,r14,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,r29,,,,r29,,,,,,,r29,,r29,r29,r29,r29,r29,,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,,,,,,,,,,,r29,r29,r29,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,s65,,,,,,,,,,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,
94,s65,,,,,,,,,,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,
95,r33,,,,r33,,,,,,,r33,,r33,r33,r33,r33,r33,,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,,,,,,,,,,,r33,r33,r33,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,s123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,r38,,,,r38,,,,,,,r38,,r38,r38,r38,r38,r38,,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,,,,,,,,,,,r38,r38,r38,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,r39,,,,r39,,,,,,,r39,,r39,r39,r39,r39,r39,,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,,,,,,,,,,,r39,r39,r39,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,125,,,124,,,,7,,,,
100,,,,r48,,,,,,r48,,r48,r48,,,r48,,r48,r48,,,,,,,,,,,r48,,,,,,,,,,,,,,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,r49,,,,,,r49,,r49,r49,,,r49,,r49,r49,,,,,,,,,,,r49,,,,,,,,,,,,,,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,r50,,,,,,r50,,r50,r50,,,r50,,r50,r50,,,,,,,,,,,r50,,,,,,,,,,,,,,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,r51,,,,,,r51,,r51,r51,,,r51,,r51,r51,,,,,,,,,,,r51,,,,,,,,,,,,,,r51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,7,,,,
105,,,,,s128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,s129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,,,130
108,r8,r8,r8,,,r8,r8,r8,,,r8,r8,,,,r8,r8,r8,,r8,r8,r8,,,r8,,r8,,r8,,,,,,,,,,,r8,r8,r8,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,s83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,
110,,,,s132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,s46,,s43,,,,s42,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,133,,,,,,,111,,,85,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s114,s115,s116,s117,s118,,,,,,,,,,,,,,,,,,,,,,,,,,134,
113,,,,,s136,,,,,s137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,
114,,,,,r70,,,,,r70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
